DH,distance,ranking,name,team,result,remark
H,teampursuit,2,US,Hansen; Hedrick; Kuck,221.58,
H,teampursuit,3,NL,Blokhuijsen; Kramer; Tuitert,219.95,OR
H,teampursuit,4,NO,Bokk&oslash;; Christiansen; Flygind-Larsen,220.5,
H,teampursuit,5,KR,Lee Jong-woo; Lee Seung-hoon; Ha Hong-sun,228.6,
H,teampursuit,6,IT,Anesi; Fabris; Ioriatti,234.39,
H,teampursuit,7,SE,Eriksson; Friberg; R&ouml;jler,226.18,
H,teampursuit,8,JP,Dejima; Doi; Hirako,229.11,
D,teampursuit,1,DE,Ansch&uuml;tz; Beckert; Mattscherodt,182.81,
D,teampursuit,2,JP,Hozumi; Kodaira; Tabata,182.84,
D,teampursuit,3,PL,Bachleda; Wozniak; Zlotkowska,183.73,
D,teampursuit,4,US,Raney; Rodriguez; Rookard,185.3,
D,teampursuit,5,CA,Groves; Nesbitt; Schussler,181.41,OR
D,teampursuit,6,NL,Valkenburg; Voorhuis; W&uuml;st,182.04,
D,teampursuit,7,RU,Lobysjeva; Sjabanova; Sjichova,186.47,
D,teampursuit,8,KR,Lee Ju-youn; Noh Seon-yeong; Park Do-yeon,186.96,
